application,x_Br,z_Ge,top10_fraction,top1_fraction,mean_rank
tandem-top-cell,0.9,0.35,0.0,0.0,161.8459
tandem-top-cell,0.95,0.35,0.0,0.0,185.3735
tandem-top-cell,1.0,0.35,0.0,0.0,203.0955
tandem-top-cell,0.0,0.4,0.0,0.0,119.5202
tandem-top-cell,0.05,0.4,0.0,0.0,98.7837
tandem-top-cell,0.1,0.4,0.0,0.0,78.9913
tandem-top-cell,0.15,0.4,0.0002,0.0,61.8673
tandem-top-cell,0.2,0.4,0.0133,0.0,47.826
tandem-top-cell,0.25,0.4,0.1103,0.0,36.5461
tandem-top-cell,0.3,0.4,0.3818,0.0,27.8794
tandem-top-cell,0.35,0.4,0.6974,0.0011,21.6112
tandem-top-cell,0.4,0.4,0.8809,0.0055,17.6235
tandem-top-cell,0.45,0.4,0.9368,0.0133,16.1728
tandem-top-cell,0.5,0.4,0.8823,0.009,17.5967
tandem-top-cell,0.55,0.4,0.6651,0.0016,22.0305
tandem-top-cell,0.6,0.4,0.332,0.0002,29.8884
tandem-top-cell,0.65,0.4,0.0901,0.0,42.0438
tandem-top-cell,0.7,0.4,0.0114,0.0,59.9448
tandem-top-cell,0.75,0.4,0.0005,0.0,84.8485
tandem-top-cell,0.8,0.4,0.0,0.0,115.5682
tandem-top-cell,0.85,0.4,0.0,0.0,147.3613
tandem-top-cell,0.9,0.4,0.0,0.0,175.1585
tandem-top-cell,0.95,0.4,0.0,0.0,196.4976
tandem-top-cell,1.0,0.4,0.0,0.0,211.8916
tandem-top-cell,0.0,0.45,0.001,0.0,87.3295
tandem-top-cell,0.05,0.45,0.0103,0.0,68.076
tandem-top-cell,0.1,0.45,0.0497,0.0,51.7714
tandem-top-cell,0.15,0.45,0.1893,0.0,38.4069
tandem-top-cell,0.2,0.45,0.4573,0.0,27.7396
tandem-top-cell,0.25,0.45,0.7672,0.0,19.582
tandem-top-cell,0.3,0.45,0.9509,0.0009,13.7029
tandem-top-cell,0.35,0.45,0.996,0.0085,9.8822
tandem-top-cell,0.4,0.45,1.0,0.0167,8.2642
tandem-top-cell,0.45,0.45,0.9971,0.015,9.1611
tandem-top-cell,0.5,0.45,0.9547,0.0042,12.7055
tandem-top-cell,0.55,0.45,0.7718,0.0003,19.2741
tandem-top-cell,0.6,0.45,0.4278,0.0,29.6039
tandem-top-cell,0.65,0.45,0.1457,0.0,44.9197
tandem-top-cell,0.7,0.45,0.0236,0.0,66.9633
tandem-top-cell,0.75,0.45,0.0008,0.0,96.4327
tandem-top-cell,0.8,0.45,0.0,0.0,130.0891
tandem-top-cell,0.85,0.45,0.0,0.0,161.9658
tandem-top-cell,0.9,0.45,0.0,0.0,187.7109
tandem-top-cell,0.95,0.45,0.0,0.0,206.3618
tandem-top-cell,1.0,0.45,0.0,0.0,219.1231
tandem-top-cell,0.0,0.5,0.1061,0.0,59.373
tandem-top-cell,0.05,0.5,0.238,0.0,43.5565
tandem-top-cell,0.1,0.5,0.4441,0.0,30.8339
tandem-top-cell,0.15,0.5,0.6844,0.0,20.8619
tandem-top-cell,0.2,0.5,0.8649,0.0039,13.3555
tandem-top-cell,0.25,0.5,0.9594,0.0496,8.0749
tandem-top-cell,0.3,0.5,0.9906,0.1621,4.7014
tandem-top-cell,0.35,0.5,0.9984,0.2981,3.1241
tandem-top-cell,0.4,0.5,0.9961,0.2665,3.5402
tandem-top-cell,0.45,0.5,0.976,0.1197,6.121
tandem-top-cell,0.5,0.5,0.9015,0.022,11.2328
tandem-top-cell,0.55,0.5,0.7139,0.001,19.6185
tandem-top-cell,0.6,0.5,0.4339,0.0,32.4949
tandem-top-cell,0.65,0.5,0.1814,0.0,51.28
tandem-top-cell,0.7,0.5,0.0449,0.0,77.6172
tandem-top-cell,0.75,0.5,0.0047,0.0,110.7898
tandem-top-cell,0.8,0.5,0.0,0.0,145.4597
tandem-top-cell,0.85,0.5,0.0,0.0,175.8399
tandem-top-cell,0.9,0.5,0.0,0.0,198.8046
tandem-top-cell,0.95,0.5,0.0,0.0,214.5115
tandem-top-cell,1.0,0.5,0.0,0.0,224.2917
